dt_cmdty,nome_cmdty,tipo_cmdty,cmdty_um,cmdty_vl_rs_um,cmdty_var_mes_perc,dt_etl
2023-01-01,Boi_Gordo,Indicador do Boi Gordo CEPEA/B3,15 Kg/carca̤a,285.97,0.000000000,2023-01-02
2023-02-01,Boi_Gordo,Indicador do Boi Gordo CEPEA/B3,15 Kg/carca̤a,289.72,0.013113263629052,2023-02-02
2023-03-01,Boi_Gordo,Indicador do Boi Gordo CEPEA/B3,15 Kg/carca̤a,281.80,-0.0273367389203369,2023-03-02
2023-05-01,Boi_Gordo,Indicador do Boi Gordo CEPEA/B3,15 Kg/carca̤a,263.83,-0.0637686302342088,2023-05-02
2023-06-01,Boi_Gordo,Indicador do Boi Gordo CEPEA/B3,15 Kg/carca̤a,248.80,-0.056968502444756,2023-06-02
2023-08-01,Boi_Gordo,Indicador do Boi Gordo CEPEA/B3,15 Kg/carca̤a,220.36,-0.114308681672026,2023-08-02
2023-10-01,Boi_Gordo,Indicador do Boi Gordo CEPEA/B3,15 Kg/carca̤a,237.84,0.0793247413323652,2023-10-02
2023-11-01,Boi_Gordo,Indicador do Boi Gordo CEPEA/B3,15 Kg/carca̤a,234.87,-0.0124873864783047,2023-11-02
2024-01-01,Boi_Gordo,Indicador do Boi Gordo CEPEA/B3,15 Kg/carca̤a,249.65,0.0629284284923575,2024-01-02
2024-02-01,Boi_Gordo,Indicador do Boi Gordo CEPEA/B3,15 Kg/carca̤a,237.84,-0.0473062287202083,2024-02-02
2024-04-01,Boi_Gordo,Indicador do Boi Gordo CEPEA/B3,15 Kg/carca̤a,230.51,-0.0308190380087454,2024-04-02
2024-05-01,Boi_Gordo,Indicador do Boi Gordo CEPEA/B3,15 Kg/carca̤a,226.92,-0.0155741616415774,2024-05-02
2024-07-01,Boi_Gordo,Indicador do Boi Gordo CEPEA/B3,15 Kg/carca̤a,229.27,0.0103560726247137,2024-07-02
2024-08-01,Boi_Gordo,Indicador do Boi Gordo CEPEA/B3,15 Kg/carca̤a,235.07,0.0252976839534173,2024-08-02
2024-09-01,Boi_Gordo,Indicador do Boi Gordo CEPEA/B3,15 Kg/carca̤a,255.45,0.0866975794444208,2024-09-02
2024-10-01,Boi_Gordo,Indicador do Boi Gordo CEPEA/B3,15 Kg/carca̤a,301.13,0.178821687218634,2024-10-02
2024-12-01,Boi_Gordo,Indicador do Boi Gordo CEPEA/B3,15 Kg/carca̤a,320.33,0.0637598379437452,2024-12-02
2025-01-01,Boi_Gordo,Indicador do Boi Gordo CEPEA/B3,15 Kg/carca̤a,324.95,0.0144226266662504,2025-01-02
